maze_num,boost_type,wall_density,total_queries,follow_rate,avg_entropy,max_entropy,below_threshold,revisit_rate,max_revisits
1,mult,0.24,35,0.5714285714285714,1.064351727281298,1.3608512878417969,15,0.5714285714285714,9
19,add,0.25,6,0.6666666666666666,1.1965526739756267,1.3608512878417969,0,0.0,1
19,mult,0.25,7,0.42857142857142855,1.0455270750182015,1.2565250396728516,3,0.2857142857142857,3
30,add,0.32,7,0.42857142857142855,1.1632348809923445,1.2666090726852417,0,0.5714285714285714,4
30,mult,0.32,6,0.5,1.1409935156504314,1.3545790910720825,2,0.5,3
35,mult,0.19,46,0.2391304347826087,1.0644022381823997,1.3288389444351196,17,0.8043478260869565,11
41,add,0.3,28,0.7142857142857143,1.1018402789320265,1.3545790910720825,0,0.7857142857142857,19
41,mult,0.3,38,0.5,1.1021742161951567,1.3545790910720825,12,0.736842105263158,12
60,mult,0.26,29,0.2413793103448276,1.0601290875467761,1.2565250396728516,9,0.6206896551724138,13
74,mult,0.33,18,0.4444444444444444,1.0230261517895594,1.2934236526489258,9,0.4444444444444444,4
96,add,0.23,27,0.48148148148148145,1.1147743463516235,1.2904088497161865,0,0.7037037037037037,11
101,add,0.23,8,0.5,1.1857063472270966,1.3608512878417969,0,0.375,3
109,add,0.3,8,0.5,1.2323870062828064,1.3545790910720825,0,0.625,5
122,add,0.25,20,0.5,1.1606687664985658,1.3761041164398193,0,0.6,10
